"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_Race_CombinedBlack","Estimate_Race_CombinedMexican-American","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_Race_CombinedBlack","p_value_Race_CombinedMexican-American","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.1271,0.8534,2.0553,1.3836,-4.4547,-5.9943,-2.9198,0.0487,0,0.2341,0.4392,0.2445,0.119,0.1786
"FvH",0.0616,-0.301,1.7206,-1.6117,0.3358,1.2835,-0.2741,0.0679,0,0.0585,0.0871,0.8667,0.5224,0.8089
"FvB",0.1643,0.3621,5.6829,3.0765,-2.3909,-6.236,-0.9511,0.0326,0.0087,0.0064,0.15,0.5992,0.1728,0.712
"FvJ",0.1861,0.3084,1.9167,-0.1237,0.0282,-3.536,-1.6367,0.0036,0.0067,0.2576,0.9437,0.994,0.3467,0.4407
"FvN",-0.0261,-0.7136,-1.4427,-2.42,-0.6605,1.6994,1.4748,0.6003,0,0.2838,0.0843,0.8244,0.5691,0.3825
"WvH",0.015,1.1524,-3.6179,-1.3189,-1.113,0.593,0.6502,0.6856,0,4e-04,0.2054,0.6159,0.7897,0.605
"WvB",0.2936,-0.0181,8.3294,0.1697,-0.1036,0.3201,0.1307,0,0.6258,0,0.7703,0.9335,0.797,0.8527
"WvJ",-0.0028,0.1939,2.1444,0.5063,2.0607,3.1385,-1.0903,0.9435,0.0063,0.0435,0.6431,0.3779,0.1813,0.4102
"WvN",-0.0277,0.9169,-5.8376,-1.4175,-1.955,0.7899,2.5406,0.5442,0,0,0.268,0.4739,0.7726,0.1021
"HvB",-0.1215,0.7915,12.3556,0.3725,-3.4695,-0.7219,-1.2409,0.0084,0,0,0.7691,0.2022,0.7905,0.4198
"HvJ",0.1649,0.5741,-2.1147,-1.8958,-2.4432,-4.3864,0.9771,1e-04,0,0.0528,0.0935,0.3098,0.0702,0.4729
"HvN",-0.0455,-0.3311,-2.2956,-0.3349,-1.3212,-0.1393,1.4364,0.0513,0,3e-04,0.6052,0.3406,0.92,0.0689
"BvJ",0.0767,0.0374,12.3781,1.8755,-1.0921,0.7473,0.6904,0.1155,0.6654,0,0.1678,0.7059,0.7967,0.6737
"BvN",-0.3026,0.9326,12.2285,-1.5697,-2.2337,-0.2059,1.7555,0,0,0,0.1785,0.3692,0.9341,0.2136
"JvN",0.0644,0.3966,-5.5686,-2.9737,-5.9407,-4.281,2.2375,0.2993,5e-04,0.0011,0.0876,0.1099,0.2491,0.2864
