"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_Race_CombinedBlack","Estimate_Race_CombinedMexican-American","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_Race_CombinedBlack","p_value_Race_CombinedMexican-American","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.1271,0.8534,2.0553,1.3836,-4.4547,-5.9943,-2.9198,0.0487,0,0.2341,0.4392,0.2445,0.119,0.1786
"FvH",0.0616,-0.301,1.7206,-1.6117,0.3358,1.2835,-0.2741,0.0679,0,0.0585,0.0871,0.8667,0.5224,0.8089
"FvB",0.0527,1.2887,12.5953,1.2677,-5.7799,-4.2134,-1.694,0.3816,0,0,0.4511,0.1094,0.243,0.4056
"FvJ",0.1861,0.3084,1.9167,-0.1237,0.0282,-3.536,-1.6367,0.0036,0.0067,0.2576,0.9437,0.994,0.3467,0.4407
"FvN",-0.0261,-0.7136,-1.4427,-2.42,-0.6605,1.6994,1.4748,0.6003,0,0.2838,0.0843,0.8244,0.5691,0.3825
"WvH",0.015,1.1524,-3.6179,-1.3189,-1.113,0.593,0.6502,0.6856,0,4e-04,0.2054,0.6159,0.7897,0.605
"WvB",-0.0555,-0.0429,18.1813,0.2029,-1.2205,-0.7517,-0.6932,0.0037,0.2021,0,0.6987,0.2769,0.5034,0.2757
"WvJ",-0.0028,0.1939,2.1444,0.5063,2.0607,3.1385,-1.0903,0.9435,0.0063,0.0435,0.6431,0.3779,0.1813,0.4102
"WvN",-0.0277,0.9169,-5.8376,-1.4175,-1.955,0.7899,2.5406,0.5442,0,0,0.268,0.4739,0.7726,0.1021
"HvB",-0.163,1.1794,15.3884,-1.4728,-0.9949,-0.2056,0.5267,0,0,0,0.1641,0.6588,0.9274,0.6798
"HvJ",0.1649,0.5741,-2.1147,-1.8958,-2.4432,-4.3864,0.9771,1e-04,0,0.0528,0.0935,0.3098,0.0702,0.4729
"HvN",-0.0455,-0.3311,-2.2956,-0.3349,-1.3212,-0.1393,1.4364,0.0513,0,3e-04,0.6052,0.3406,0.92,0.0689
"BvJ",-0.1287,0.4088,18.1926,1.3857,2.3364,3.4391,-0.6745,0.0024,0,0,0.2332,0.3463,0.1676,0.6308
"BvN",-0.2444,0.9273,13.2103,-1.6374,-1.74,-0.0579,2.4036,0,0,0,0.2502,0.5665,0.9848,0.1638
"JvN",0.0644,0.3966,-5.5686,-2.9737,-5.9407,-4.281,2.2375,0.2993,5e-04,0.0011,0.0876,0.1099,0.2491,0.2864
