"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_ModeTreadmill","Estimate_Race_CombinedBlack","Estimate_Race_CombinedMexican-American","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_ModeTreadmill","p_value_Race_CombinedBlack","p_value_Race_CombinedMexican-American","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.1194,1.0923,4.0742,2.2477,0.42,-3.8421,-6.8754,-1.3137,0.0131,0,0.0053,0.0156,0.7888,0.2331,0.0825,0.4687
"FvH",0.1002,0.1526,3.6467,-2.4881,-0.016,0.336,0.697,-0.0059,4e-04,0.0036,0,0,0.9862,0.8589,0.7638,0.9956
"FvB",0.019,1.654,14.9341,2.6323,0.3581,-5.1706,-4.0948,1.2329,0.6809,0,0,0.0034,0.8131,0.0971,0.2836,0.4815
"FvJ",0.1784,0.4605,2.4509,2.5102,0.6955,-2.2711,-2.2165,-0.0499,3e-04,0,0.094,0.0074,0.6594,0.4834,0.5773,0.9782
"FvN",-0.0379,-0.9375,-2.9308,6.858,-0.3907,1.0086,1.9996,1.6953,0.2852,0,0.0066,0,0.7362,0.6719,0.494,0.2068
"WvH",-0.0018,0.9529,-2.3859,-3.4471,-2.0553,-1.901,-0.6234,0.3225,0.9508,0,0.0068,0,0.0307,0.3286,0.7939,0.7684
"WvB",-0.103,0.0116,20.1986,1.6113,0.1945,-0.1659,-0.2932,0.6185,0,0.6937,0,0,0.7098,0.8771,0.8237,0.3063
"WvJ",-0.0211,0.1926,1.7339,0.8111,-0.2595,0.2343,2.8747,0.5852,0.4115,1e-04,0.0267,0.1034,0.758,0.8922,0.1761,0.548
"WvN",-0.0385,1.0634,-7.106,6.1679,-2.318,-0.7745,0.3032,2.0526,0.2336,0,0,0,0.0287,0.7208,0.9092,0.0934
"HvB",-0.2066,1.2275,15.8164,-3.7052,-2.1298,-0.8373,-0.3829,1.4073,0,0,0,0,0.0129,0.6321,0.8584,0.1537
"HvJ",0.115,0.3017,-0.6564,-2.1757,-0.9487,-2.2381,-3.0697,1.7026,3e-04,0,0.4857,3e-04,0.3514,0.2843,0.2316,0.1485
"HvN",-0.0328,-0.4568,-3.2375,12.5454,-0.6433,-0.5996,-0.0946,1.9029,0.1559,0,0,0,0.3953,0.6995,0.9604,0.0302
"BvJ",-0.2265,0.4529,18.8598,1.9754,0.3296,-0.081,3.3868,1.1533,0,0,0,0.001,0.7448,0.9689,0.1849,0.3249
"BvN",-0.3222,1.1077,13.8098,7.3417,-2.6558,-0.1826,-0.5534,2.4369,0,0,0,0,0.0249,0.9399,0.8522,0.0746
"JvN",0.0392,0.4485,-6.0386,5.574,-2.9237,-1.451,-4.324,0.1705,0.3463,0,0,0,0.0326,0.6042,0.2086,0.9138
