"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_Race_CombinedBlack","Estimate_Race_CombinedMexican-American","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_Race_CombinedBlack","p_value_Race_CombinedMexican-American","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.1081,1.2812,6.3828,-1.7459,-3.8455,-7.1012,0.3561,0.1127,0,0.0062,0.5035,0.4426,0.41,0.898
"FvH",0.1286,0.4661,4.9396,1.4385,0.491,2.2334,0.4551,4e-04,0,1e-04,0.2966,0.8525,0.6231,0.7561
"FvB",-0.0083,1.9418,17.6614,-2.1942,-5.3516,-0.9387,4.2582,0.8975,0,0,0.3758,0.2606,0.9085,0.1075
"FvJ",0.176,0.5704,2.9855,1.2824,-4.6956,2.3484,1.5477,0.0123,0,0.2079,0.6319,0.3611,0.7904,0.5873
"FvN",-0.0361,-1.1158,-5.2154,2.7451,2.9964,0.0022,1.7071,0.4561,0,0.0018,0.1413,0.4017,0.9997,0.3894
"WvH",-0.0168,0.8181,-0.7701,-3.4393,-3.6123,-4.2229,-0.2192,0.68,0,0.5784,0.0293,0.2306,0.4148,0.8955
"WvB",-0.1316,0.0666,22.4099,-0.9935,-0.218,2.0856,1.7695,0,0.1125,0,0.2454,0.8941,0.4596,0.0529
"WvJ",-0.0405,0.201,1.6731,-1.3099,-1.6434,1.6388,2.2891,0.2416,0.0023,0.1546,0.324,0.5186,0.7082,0.1064
"WvN",-0.0512,1.1708,-8.3007,-3.066,1.081,-1.0485,1.8505,0.2526,0,0,0.0754,0.7428,0.8532,0.3121
"HvB",-0.239,1.2747,16.5437,-3.484,-1.1201,-0.6702,2.301,0,0,0,0.0122,0.6718,0.8829,0.1181
"HvJ",0.0921,0.1132,0.8632,-0.6215,-3.3596,-0.2496,1.9805,0.0335,0.1635,0.5548,0.707,0.2903,0.9635,0.2615
"HvN",-0.0252,-0.5466,-4.2015,-0.5857,0.4044,-1.1815,2.3216,0.4768,0,6e-04,0.6665,0.8767,0.7923,0.1099
"BvJ",-0.2992,0.5074,20.283,-2.0685,-3.482,3.3018,2.9749,0,0,0,0.2103,0.2715,0.544,0.0913
"BvN",-0.3785,1.2542,14.7734,-4.741,0.8646,-1.0291,2.627,0,0,0,0.0137,0.8133,0.8702,0.197
"JvN",0.0276,0.483,-6.8099,-2.7222,3.2754,-4.471,-1.7825,0.6264,0,5e-04,0.2127,0.4339,0.5346,0.4429
