"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_Race_CombinedBlack","Estimate_Race_CombinedMexican-American","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_Race_CombinedBlack","p_value_Race_CombinedMexican-American","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.1107,2.2432,4.1345,-3.8755,-4.215,-1.0157,0.233,0.0208,0,0.0111,0.0349,0.2298,0.8662,0.9046
"FvH",0.1286,0.4661,4.9396,1.4385,0.491,2.2334,0.4551,4e-04,0,1e-04,0.2966,0.8525,0.6231,0.7561
"FvB",-0.0083,1.9418,17.6614,-2.1942,-5.3516,-0.9387,4.2582,0.8975,0,0,0.3758,0.2606,0.9085,0.1075
"FvJ",0.2435,1.6034,3.3917,-1.2371,-2.5715,-3.6754,0.0035,0,0,0.0782,0.5686,0.5368,0.6079,0.9988
"FvN",0.0416,-0.4723,-1.1309,2.85,1.4483,1.097,-0.6383,0.3421,0,0.4462,0.0908,0.653,0.8431,0.7211
"WvH",0.0024,1.4308,-1.9406,-3.1094,0.0565,-0.144,0.2003,0.9332,0,0.0507,0.0059,0.979,0.9689,0.8663
"WvB",0.382,-0.0143,12.3716,0.9136,0.9765,1.1464,1.4952,0,0.6894,0,0.2109,0.4852,0.6338,0.0553
"WvJ",-0.0365,0.1811,1.5073,-1.1801,-1.4806,1.4764,2.0622,0.2416,0.0023,0.1546,0.324,0.5186,0.7082,0.1064
"WvN",-0.0461,1.0548,-7.4781,-2.7621,0.9739,-0.9446,1.6671,0.2526,0,0,0.0754,0.7428,0.8532,0.3121
"HvB",-0.239,1.2747,16.5437,-3.484,-1.1201,-0.6702,2.301,0,0,0,0.0122,0.6718,0.8829,0.1181
"HvJ",0.1388,0.7713,-1.0252,-2.4278,2.0584,-2.5649,-1.622,1e-04,0,0.3959,0.0766,0.4323,0.5695,0.2654
"HvN",-0.057,-0.495,-5.2833,0.2384,0.224,-1.4542,1.0962,0.0089,0,0,0.7737,0.888,0.5954,0.2154
"BvJ",0.0798,0.1312,13.5301,1.6567,-4.8177,3.525,1.3727,0.0487,0.0846,0,0.2848,0.1057,0.4902,0.405
"BvN",-0.4114,1.2226,13.2216,-3.6907,0.4844,-1.6345,1.3816,0,0,0,0.0063,0.8501,0.711,0.3321
"JvN",0.0249,0.4352,-6.135,-2.4524,2.9508,-4.028,-1.6059,0.6264,0,5e-04,0.2127,0.4339,0.5346,0.4429
