"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_ModeTreadmill","Estimate_Race_CombinedBlack","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_ModeTreadmill","p_value_Race_CombinedBlack","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.0725,2.5279,-1.7065,0.2297,-0.7923,-2.5881,-0.7554,0.0058,0,0.0312,0.6475,0.353,0.2288,0.3968
"FvH",0.0648,0.9118,1.6545,6.5688,1.0334,-3.0513,-1.029,0.0243,0,0.0563,0,0.269,0.1954,0.2923
"FvB",-0.2142,2.5279,19.0404,1.3575,-1.1088,-3.5186,-0.5167,0,0,0,0.0262,0.2829,0.1765,0.6319
"FvJ",0.1316,1.9217,-0.7848,-0.5462,-1.5435,-7.2584,-2.4338,0.0048,0,0.5749,0.5399,0.3077,0.0574,0.1243
"FvN",0.098,1.381,5.0688,-6.0082,1.5982,-3.0318,-2.162,0.0173,0,1e-04,0,0.2323,0.3682,0.1224
"WvH",-0.0078,-1.6161,3.361,6.3391,1.8256,-0.4632,-0.2736,0.6782,0,0,0,0.003,0.763,0.6677
"WvB",-0.2867,-1e-04,20.7469,1.1278,-0.3165,-0.9305,0.2387,0,0.9974,0,2e-04,0.5319,0.4657,0.6519
"WvJ",0.0591,-0.6063,0.9217,-0.7759,-0.7512,-4.6704,-1.6784,0.0621,0,0.334,0.2018,0.466,0.0727,0.1198
"WvN",0.0254,-1.147,6.7753,-6.2379,2.3905,-0.4438,-1.4065,0.4532,0,0,0,0.0313,0.8734,0.2242
"HvB",-0.2789,1.616,17.3859,-5.2113,-2.1421,-0.4673,0.5123,0,0,0,0,0.0043,0.8033,0.5104
"HvJ",0.0668,1.0099,-2.4393,-7.115,-2.5769,-4.2071,-1.4048,0.0666,0,0.0268,0,0.0304,0.1597,0.2574
"HvN",0.0332,0.4691,3.4143,-12.577,0.5649,0.0195,-1.133,0.154,0,0,0,0.4566,0.9919,0.1536
"BvJ",0.3458,-0.6062,-19.8253,-1.9037,-0.4347,-3.7398,-1.9171,0,0,0,0.0045,0.7001,0.189,0.1049
"BvN",0.3121,-1.1469,-13.9717,-7.3657,2.707,0.4868,-1.6453,0,0,0,0,0.0251,0.8724,0.1914
"JvN",-0.0337,-0.5407,5.8536,-5.462,3.1417,4.2266,0.2718,0.4605,0,0,0,0.0353,0.2597,0.8612
