"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_ModeTreadmill","Estimate_Race_CombinedBlack","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_ModeTreadmill","p_value_Race_CombinedBlack","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.0944,2.427,-0.7383,8.6218,-0.9571,-2.5499,-0.2921,3e-04,0,0.3458,0,0.2582,0.232,0.7411
"FvH",0.0648,0.9118,1.6545,6.5688,1.0334,-3.0513,-1.029,0.0243,0,0.0563,0,0.269,0.1954,0.2923
"FvB",-0.2431,2.5871,18.8239,8.7429,-1.1139,-3.5818,-0.5931,0,0,0,0,0.2685,0.1582,0.5727
"FvJ",0.1488,1.8561,0.0855,8.2964,-1.7073,-7.1578,-1.8711,7e-04,0,0.948,0,0.2287,0.0456,0.207
"FvN",0.1185,1.3512,5.6321,4.8955,1.2416,-3.0415,-1.6963,0.0011,0,0,0,0.2925,0.306,0.1691
"WvH",-0.0296,-1.5151,2.3928,-2.0529,1.9905,-0.5014,-0.7369,0.141,0,1e-04,0,0.0026,0.7614,0.2825
"WvB",-0.3375,0.1602,19.5622,0.1212,-0.1568,-1.0319,-0.301,0,0,0,0.6707,0.7458,0.3973,0.5516
"WvJ",0.0544,-0.5709,0.8238,-0.3254,-0.7502,-4.608,-1.579,0.0668,0,0.3566,0.5674,0.4372,0.0588,0.1183
"WvN",0.0241,-1.0758,6.3703,-3.7262,2.1987,-0.4916,-1.4042,0.4437,0,0,0,0.0329,0.8493,0.1914
"HvB",-0.3079,1.6753,17.1694,2.1741,-2.1472,-0.5304,0.4359,0,0,0,0,0.0013,0.7509,0.5295
"HvJ",0.084,0.9442,-1.569,1.7276,-2.7406,-4.1065,-0.8421,0.0136,0,0.1256,0.0083,0.0136,0.1409,0.4661
"HvN",0.0537,0.4393,3.9776,-1.6733,0.2082,0.0098,-0.6673,0.0011,0,0,0,0.6951,0.9941,0.2301
"BvJ",0.3919,-0.7311,-18.7384,-0.4466,-0.5934,-3.5761,-1.278,0,0,0,0.4397,0.5451,0.1483,0.2129
"BvN",0.3616,-1.236,-13.1918,-3.8474,2.3555,0.5403,-1.1032,0,0,0,0,0.0106,0.815,0.25
"JvN",-0.0303,-0.5049,5.5466,-3.4009,2.9489,4.1164,0.1748,0.4786,0,0,0,0.0349,0.2413,0.9044
