"Pair","Estimate_age","Estimate_bmi","Estimate_gender2","Estimate_ModeTreadmill","Estimate_Race_CombinedBlack","Estimate_Race_CombinedMexican-American","Estimate_Race_CombinedAsian","Estimate_Race_CombinedOther","p_value_age","p_value_bmi","p_value_gender2","p_value_ModeTreadmill","p_value_Race_CombinedBlack","p_value_Race_CombinedMexican-American","p_value_Race_CombinedAsian","p_value_Race_CombinedOther"
"FvW",0.1253,1.6507,2.826,4.9065,-0.6427,-4.6786,-5.9525,-1.7079,0.0041,0,0.0322,0,0.651,0.1094,0.097,0.2988
"FvH",0.1002,0.1526,3.6467,-2.4881,-0.016,0.336,0.697,-0.0059,4e-04,0.0036,0,0,0.9862,0.8589,0.7638,0.9956
"FvB",0.0654,1.2599,11.3238,3.8933,2.1604,-2.9554,-6.7659,1.4731,0.2365,0,0,3e-04,0.2324,0.4258,0.1379,0.4809
"FvJ",0.2275,1.0637,2.6905,3.1549,-0.505,-1.7651,-4.7315,-1.1481,0,0,0.0547,5e-04,0.7379,0.569,0.2139,0.5107
"FvN",0.0094,-0.5594,-0.8329,-2.1655,-0.1323,0.2269,1.315,0.4081,0.777,0,0.4061,8e-04,0.9028,0.9187,0.6299,0.7445
"WvH",0.0095,1.3108,-2.8567,1.8752,-1.9598,-0.4647,0.0388,0.3616,0.6786,0,0,0,0.0094,0.7629,0.9836,0.6768
"WvB",0.3442,-0.016,10.4587,0.7155,0.7069,0.71,0.1718,0.9195,0,0.5526,0,0.0116,0.1398,0.4694,0.8865,0.0968
"WvJ",-0.0189,0.1815,1.6629,0.1854,-0.2259,0.2984,2.8534,0.4731,0.4346,1e-04,0.0235,0.6907,0.7748,0.854,0.1522,0.6044
"WvN",-0.0365,0.9959,-6.6855,3.6397,-2.1322,-0.7024,0.3511,2.0122,0.2221,0,0,0,0.0299,0.7265,0.8867,0.076
"HvB",-0.1888,1.0581,14.2407,1.8434,-0.7428,-1.8399,-1.2208,0.4859,0,0,0,0.0012,0.4371,0.3486,0.6121,0.6601
"HvJ",0.1473,0.6876,-1.5506,1.5244,-2.005,-0.1311,-4.1889,-0.3668,0,0,0.0545,0.0032,0.0216,0.9414,0.0564,0.715
"HvN",-0.0524,-0.4241,-3.7349,1.648,-0.3165,-0.7682,-0.1002,1.2535,0.0012,0,0,0,0.5471,0.4766,0.9396,0.0398
"BvJ",0.0787,0.0908,12.8628,0.9149,1.8842,-2.8761,1.2881,1.0279,0.0102,0.1075,0,0.1207,0.0596,0.1607,0.6082,0.3729
"BvN",-0.366,1.0949,12.6214,3.6242,-2.2454,-0.7081,-0.7731,1.493,0,0,0,0,0.0108,0.6938,0.7261,0.1411
"JvN",0.0368,0.4203,-5.6961,3.4836,-2.7411,-1.5138,-4.2133,0.2915,0.3457,0,0,0,0.0323,0.5633,0.1905,0.8433
