"Pair","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"BvJ","(Intercept)",-1.7421,2.2574,-0.7717,0.4409,-6.1846,2.7005
"BvJ","ModeTreadmill",0.8476,0.5894,1.4381,0.1515,-0.3123,2.0074
"BvJ","age",0.0761,0.0307,2.4743,0.0139,0.0156,0.1366
"BvJ","bmi",0.0939,0.0566,1.6576,0.0985,-0.0176,0.2053
"BvJ","gender2",12.8173,0.9237,13.8768,0,10.9996,14.6351
"BvJ","raceAfrican-American",1.9877,0.9853,2.0173,0.0446,0.0486,3.9268
"BvJ","raceMexican-American",-0.3385,1.0537,-0.3212,0.7483,-2.4122,1.7353
"BvJ","raceMixed/Other",-0.0153,1.371,-0.0112,0.9911,-2.7134,2.6828
"BvJ","raceSEA",-0.9746,2.5159,-0.3874,0.6988,-5.9259,3.9768
"BvN","(Intercept)",-3.4952,1.9789,-1.7662,0.0784,-7.3898,0.3994
"BvN","ModeTreadmill",3.5918,0.5167,6.9519,0,2.575,4.6086
"BvN","age",-0.3645,0.0269,-13.5248,0,-0.4175,-0.3114
"BvN","bmi",1.0987,0.0496,22.134,0,1.001,1.1964
"BvN","gender2",12.5545,0.8097,15.5046,0,10.961,14.1481
"BvN","raceAfrican-American",-2.3758,0.8638,-2.7504,0.0063,-4.0757,-0.6758
"BvN","raceMexican-American",-0.2635,0.9238,-0.2853,0.7756,-2.0815,1.5544
"BvN","raceMixed/Other",-1.57,1.2019,-1.3063,0.1925,-3.9353,0.7953
"BvN","raceSEA",-1.3872,2.2056,-0.629,0.5299,-5.7279,2.9534
"FvB","(Intercept)",-35.0745,4.093,-8.5695,0,-43.1294,-27.0195
"FvB","ModeTreadmill",3.8975,1.0686,3.6473,3e-04,1.7945,6.0005
"FvB","age",0.0708,0.0557,1.2709,0.2047,-0.0389,0.1805
"FvB","bmi",1.2672,0.1027,12.3424,0,1.0651,1.4692
"FvB","gender2",11.1455,1.6747,6.6551,0,7.8496,14.4413
"FvB","raceAfrican-American",1.72,1.7865,0.9628,0.3364,-1.7959,5.236
"FvB","raceMexican-American",-0.0298,1.9105,-0.0156,0.9876,-3.7898,3.7302
"FvB","raceMixed/Other",-1.6087,2.4858,-0.6472,0.518,-6.5007,3.2834
"FvB","raceSEA",-4.7803,4.5617,-1.0479,0.2955,-13.7578,4.1972
"FvH","(Intercept)",-2.2318,2.0657,-1.0804,0.2808,-6.297,1.8335
"FvH","ModeTreadmill",-2.4163,0.5393,-4.4803,0,-3.4776,-1.3549
"FvH","age",0.1062,0.0281,3.7751,2e-04,0.0508,0.1616
"FvH","bmi",0.1483,0.0518,2.8624,0.0045,0.0463,0.2503
"FvH","gender2",3.6544,0.8452,4.3237,0,1.991,5.3178
"FvH","raceAfrican-American",0.1573,0.9016,0.1744,0.8617,-1.6172,1.9317
"FvH","raceMexican-American",1.7115,0.9642,1.775,0.0769,-0.1861,3.6091
"FvH","raceMixed/Other",-0.5751,1.2545,-0.4585,0.647,-3.0441,1.8938
"FvH","raceSEA",0.8984,2.3022,0.3902,0.6967,-3.6324,5.4292
"FvJ","(Intercept)",-36.4814,3.4037,-10.7181,0,-43.1799,-29.7828
"FvJ","ModeTreadmill",3.1659,0.8887,3.5626,4e-04,1.417,4.9148
"FvJ","age",0.23,0.0464,4.9612,0,0.1387,0.3212
"FvJ","bmi",1.071,0.0854,12.5436,0,0.9029,1.239
"FvJ","gender2",2.5775,1.3927,1.8507,0.0652,-0.1634,5.3183
"FvJ","raceAfrican-American",-0.9868,1.4857,-0.6642,0.5071,-3.9106,1.937
"FvJ","raceMexican-American",-0.202,1.5888,-0.1271,0.8989,-3.3288,2.9248
"FvJ","raceMixed/Other",-0.7083,2.0672,-0.3427,0.7321,-4.7766,3.3599
"FvJ","raceSEA",-5.3901,3.7935,-1.4209,0.1564,-12.8559,2.0756
"FvN","(Intercept)",32.9982,2.4361,13.5453,0,28.2039,37.7926
"FvN","ModeTreadmill",-2.153,0.636,-3.3851,8e-04,-3.4047,-0.9013
"FvN","age",0.0103,0.0332,0.3103,0.7566,-0.055,0.0756
"FvN","bmi",-0.5684,0.0611,-9.3011,0,-0.6886,-0.4481
"FvN","gender2",-0.8221,0.9968,-0.8248,0.4102,-2.7839,1.1396
"FvN","raceAfrican-American",0.1659,1.0633,0.156,0.8762,-1.9268,2.2585
"FvN","raceMexican-American",1.2201,1.1372,1.0729,0.2842,-1.0179,3.458
"FvN","raceMixed/Other",1.564,1.4795,1.0571,0.2913,-1.3478,4.4757
"FvN","raceSEA",0.7661,2.7151,0.2821,0.778,-4.5774,6.1095
"FvW","(Intercept)",-49.2354,3.2147,-15.3155,0,-55.562,-42.9088
"FvW","ModeTreadmill",4.9727,0.8393,5.9247,0,3.3209,6.6245
"FvW","age",0.1274,0.0438,2.9113,0.0039,0.0413,0.2136
"FvW","bmi",1.6666,0.0806,20.6676,0,1.5079,1.8253
"FvW","gender2",2.6682,1.3154,2.0284,0.0434,0.0795,5.2568
"FvW","raceAfrican-American",-1.1361,1.4032,-0.8097,0.4188,-3.8976,1.6254
"FvW","raceMexican-American",-1.5227,1.5006,-1.0148,0.3111,-4.4759,1.4305
"FvW","raceMixed/Other",-2.4815,1.9524,-1.271,0.2047,-6.3238,1.3609
"FvW","raceSEA",-4.6352,3.5829,-1.2937,0.1968,-11.6864,2.416
"HvB","(Intercept)",-16.5885,2.1565,-7.6922,0,-20.8326,-12.3445
"HvB","ModeTreadmill",1.8104,0.563,3.2154,0.0014,0.7023,2.9184
"HvB","age",-0.1896,0.0294,-6.4572,0,-0.2474,-0.1318
"HvB","bmi",1.0627,0.0541,19.6444,0,0.9562,1.1691
"HvB","gender2",14.1942,0.8824,16.0861,0,12.4577,15.9308
"HvB","raceAfrican-American",-0.9862,0.9413,-1.0477,0.2956,-2.8387,0.8663
"HvB","raceMexican-American",-0.6089,1.0066,-0.6049,0.5457,-2.59,1.3722
"HvB","raceMixed/Other",-0.3045,1.3097,-0.2325,0.8163,-2.8821,2.273
"HvB","raceSEA",-1.7408,2.4035,-0.7243,0.4695,-6.4709,2.9893
"HvJ","(Intercept)",-19.2802,1.9608,-9.833,0,-23.139,-15.4214
"HvJ","ModeTreadmill",1.5656,0.5119,3.0583,0.0024,0.5582,2.5731
"HvJ","age",0.148,0.0267,5.5441,0,0.0955,0.2006
